Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
Cadia (Cu/CuAu),NSW,1882-1949@,0.120,0.41,1.7,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.200,3.89,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Cadia-Cadia Hill,NSW,1998-2017@,250.2,0.71,,0.18,,,,,,,,,,,,,,,,,,,"1,717",21.7,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.1,,373.0,,,,,,,,,,,,,,,,,,,,,,489.1,,,,C&M,Au-Cu-Ag
Cadia-Ridgeway,NSW,2000-2017,89.4,1.68,,0.63,,,,,,,,,,,,,,,,,,,"1,952",25.8,64.5,9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9,17.7,502.8,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au-Cu-Ag
Cadia-Cadia East,NSW,2010-2021#,184.7,1.11,,0.36,,,,,,,,,,,,,,,,,,,"2,318",24.0,70.7,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.8,77.7,556.0,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au-Cu-Ag
Mineral Hill (AuAg),NSW,1988-2016@,0.293,5.29,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,785.1,63.80,,,0.815,8.72,,,,,,,,,,,,,,,,,,,,,,,2.39,,E,,C&M,Au-Ag
Mineral Hill (CuAu),NSW,1988-2015@,2.97,4.78,6.4,1.32,0.16,,,,,,,,,,,,,,,,,,141.4,23.49,82.71,65.2,,,7.7,43.98,,345,,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.73,11.9,33.2,3.57,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu-Au
Mineral Hill (PbZnAg),NSW,2014-2015,0.087,,25.3,,2.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,51.4,,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,1.47,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Pb-Zn-Ag
Northparkes (Au),NSW,1994-1995,1.51,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Northparkes (AuCu),NSW,1996-2021#,146.1,0.46,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.78,,"1,225",,,,,,,,,,,,,,,,,,,,,,0.78,,E,,Op,Cu-Au
Dargues,NSW,2020-2021#,0.354,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
Cowarra-Bredbo,NSW,1987-1989,0.094,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Rehab,Au
Peak Hill (NSW),NSW,1996-2004,4.59,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,5.40,,,,Rehab,Au
Peak,NSW,1992-2021#,18.9,5.65,10.3,0.83,0.6E,0.5E,,,,,,,,,,,,,,,,,535.4E,23.3E,52.4E,124E,,,120.8E,43.7E,12.4E,,,,43.9E,46.0E,,,,,,,,,,,,,,,,,,,,,,,,64.6E,,25.1E,21.1E,,,,,98.71,73.85,125.0,85.20,45.71,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au-Cu-Pb-Zn-Ag
Cowal,NSW,2006-2021#,115.8,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.5,25.04,,,,,,,,,,,,,,,,,,,,,,,308.8,,,,Op,Au
May Day,NSW,1997,0.081,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Timbarra (HL),NSW,1999,1.20,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967,,,,,,,,,,,,,,,,,,,,,,,,0.53,,E,,Rehab,Au
Comet,NSW,1992,0.048,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Mount Boppy,NSW,"1988-2021@,#",0.557,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,0.54,,E,,Op,Au
Sheahan-Grants / Junction Reefs,NSW,1988-1995,3.24,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.067,,,,,,,,,,,,,,,,,,,,,,,,8.22,,E,,Rehab,Au
Hillgrove (SbAu),NSW,1980-2009@,1.04,5.20E,,,,,,,,,,,2.7E,%Sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4E,,,,,,65.3E,%Sb,4.918,0.029,,,,,,,,,,,,,19.85,,,,,,,,,,ND,,,,C&M,Au-Sb
Temora-Gidginbung,NSW,1987-1997,7.36,2.25,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.59,19.19,,,,,,,,,,,,,,,,,,,,,,,4.93,,E,,Rehab,Au
Tomingley,NSW,2014-2021#,8.05,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74,,,,,,,,,,,,,,,,,,,,,,,,64.69,,,,Op,Au
McKinnons,NSW,1995-2000,2.65,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.946,2.641,,,,,,,,,,,,,,,,,,,,,,,4.13,,E,,C&M,Au
Lucky Draw,NSW,1989-1991,1.44,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.057,0.155,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Drake-Mount Carrington,NSW,1988-1990,0.514,2.02,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.810,15.90,,,,,,,,,,,,,,,,,,,,,,,2.57,,,,C&M,Au-Ag
Woodlawn,NSW,1978-2020@,14.4,0.5,70.7,1.6,3.5,8.4,,,,,,,,,60,7.6,,532,5.7,,,,747.1,20.46,1.77,226,6.4,6.7,702.7,33.59,17.84,338,2.6,1.0,"1,829",49.15,3.42,98,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.016,585.7,188.1,"1,024",298.6,,,,,,,,,,,,,,,,,,,,20,,E,,C&M,Cu-Zn-Pb-Ag-Au
Woodlawn Tailings,NSW,1978-2020@,2.77,0.24,24,0.34,1.13,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu-Zn-Pb-Ag-Au
Broken Hill Field,NSW,1885-2021#,235.5,0.2,162,0.1,9.7,9.9,,,,,,,,,,,,,,,,,,,,,,,"26,545",70.5,5.5,819,,,"33,470",50.9,1.9,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,"35,749",252.6,"21,928","20,982",,0.96,,,,,,,,,,,,,,,,,,6.58,Co,E,,Op,Pb-Zn-Ag-Cu-Au
Broken Hill Field Tailings,NSW,1902-1992@,33.6,,133,,4.1,10.5,,,,,,,,,,,,,,,,,,,,,,,971.7,39.9,12.8,875,,,"5,705",45.6,7.5,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,894",,814.5,"2,725",,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Pb-Zn-Ag-Cu-Au
Cairn Hill,SA,2010-2013,5.32,,,0.50,,,,,,,54.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,,,,,,54.0,%Fe,,,13.4,,,,,,,,,,,,,,,,,,,,,,30.84,,,,C&M,Fe-Cu
Ranger,NT,1981-2021,64.6,,,,,,,,,,,,0.23,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.2,,,,,,,,,,,,,,200.0,,,,Closed,U
Beverley (ISL),SA,2001-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.796,,,,,,,,,,,,,,ND,,,,Op,U
Four Mile (ISL),SA,2014-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.50,,,,,,,,,,,,,,ND,,,,Op,U
Honeymoon (ISL),SA,2014-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,,,,,,,,,,,,,,ND,,,,Op,U
Nabarlek (mill),NT,1980-1988,0.598,,,,,,,,,,,,1.84,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81,,,,,,,,,,,,,,2.33,,,,Rehab,U
Nabarlek (HL),NT,1989,0.157,,,,,,,,,,,,0.1E,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,ND,U3O8,,,Rehab,U
Mary Kathleen,QLD,1958-1982@,8.87,,,,,,,,,,,,0.12,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.893,,,,,,,,,,,,,,22.67,,,,Rehab,U
Moline (U),NT,1956-1964,0.138,,,,,,,,,,,,0.44,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716,,,,,,,,,,,,,,ND,,,,Rehab,U
Rockhole,NT,1960-1962,0.013,,,,,,,,,,,,1.11,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140,,,,,,,,,,,,,,ND,,,,Aban,U
Radium Hill (U),SA,1954-1961,0.969,,,,,,,,,,,,0.12,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Rehab,U
Port Pirie,SA,1955-1962,0.152,,,,,,,,,,,,0.70,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852,,,,,,,,,,,,,,ND,,,,Rehab,U
Rum Jungle (U-Cu),NT,1954-1971,1.40,,,0.78,,,,,,,,,0.28,%U3O8,,,,,,,,,52.8,19.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,,,,,,3.53,,,,,,,,,,,,,,14.26,,,,Rehab,U
Rum Jungle (Cu),NT,1964-1971,1.49,2.23,,,,,,,,,,,,,,,,,,,,,35.8,19.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,3.04,8.49,,,,,,,,,,,,,,,,,,,,,,11.0,,E,,Rehab,U
Trial Mines,NT,1956-1964,0.0092,,,,,,,,,,,,0.92,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,U
Mt Painter (Ra years),SA,1911-1926@,0.0009,,,,,,,,,,,,2.10,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,0.00019,,,,Aban,Ra-U
Radium Hill (Ra years),SA,1910-1934@,0.0022,,,,,,,,,,,,1.40,%U3O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,0.0018,,,,Aban,Ra-U
Mount Gunson,SA,1974-1989,8.98,,9.9,1.72,,,,,,,,,,,,,,,,,,,291.9,43.6,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,279.3,,,,,,,,,,,,,,,,,,,,,,39.7,,E,,C&M,Cu-Ag
Mountain of Light,SA,2010-2011,0.135,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425,,,,,,,,,,,,,,,,,,,,,,0.006,,E,,Aban,Cu
Heathcote-Hirds,VIC,1992-1995,1.38,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.103,,,,,,,,,,,,,,,,,,,,,,,,2.425,,,,Rehab,Au
Fosterville,VIC,"1991-2021@,#",18.8,6.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,46.3,,E,,Op,Au
Stawell,VIC,"1983-2021@,#",24.3,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.55,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
New Bendigo,VIC,2006-2011,0.759,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Maldon-Union Hill,VIC,"1988-2021@,#",2.41,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
Maldon-Union Hill Tailings,VIC,2012-2013,0.023,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Ballarat,VIC,"2006-2021@,#",2.71,5.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.12,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
Wattle Gully-Chewton,VIC,1983-1993@,0.070,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Sambas,VIC,1992,0.00069,"1,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
A1,VIC,1983-2012@,0.0088,7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
St Arnaud,VIC,1995,0.148,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,Aban,Au
Scarsdale Tailings,VIC,1988-1990,0.102,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
West Bendigo-Eaglehawk Tailings,VIC,1988-1991,0.462,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Daylesford Tailings,VIC,1988-1989,0.146,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Buninyong Tailings,VIC,1990-1991,0.062,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Costerfield,VIC,"1995-2021@,#",1.68,8.38,,,,,,,,,,,3.47,%Sb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.25,,,,,74.72,55.78,%Sb,11.37,,,,,,,,,,,,,,54.80,,,,,,,,,,ND,,,,Op,Au-Sb
Nagambie (HL),VIC,1989-1997,7.59,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20,,,,,,,,,,,,,,,,,,,,,,,,17.7,,E,,Rehab,Au
Bailieston (HL),VIC,1996-1999,1.04,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,Rehab,Au
Amphitheatre (alluvial),VIC,1995-2000E,2.85E,0.22E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.650,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Tarnagulla,VIC,1992-2000@,0.063,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.692,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Inglewood,VIC,1993,0.0026,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Charters Towers,QLD,1997-2000@,1.03,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.810,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Cracow (1900s),QLD,1932-1976,1.55,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.21,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Cracow (2000s),QLD,2004-2021#,8.39,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.30,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Op,Au
Kidston,QLD,1985-2001,86.4,1.51,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4,240.2,,,,,,,,,,,,,,,,,,,,,,,134.6,,,,Rehab,Au-Ag
Yandan,QLD,1995-1999,12.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25,,,,,,,,,,,,,,,,,,,,,,,,9.16,,,,C&M,Au
Twin Hills,QLD,2005,0.00032,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au
Mount Leyshon,QLD,1987-2002,68.3,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.12,,,,,,,,,,,,,,,,,,,,,,,,187.1,,,,Rehab,Au
Pajingo,QLD,1986-2021#,13.1,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1,,,,,,,,,,,,,,,,,,,,,,,,20.9,,E,,Op,Au
Ravenswood-Sarsfield,QLD,1986-2021#,80.5,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.94,,,,,,,,,,,,,,,,,,,,,,,,8.96,,E,,Op,Au
Warroo,QLD,1990-1992,0.212,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Sandy Creek,QLD,1995-1996,0.323,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.743,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu-Au-Ag
Tick Hill,QLD,1992-1995,0.713,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Rehab,Au
Red Dome (Au HL),QLD,1986-1989,3.92,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.529,,,,,,,,,,,,,,,,,,,,,,,,5.66,,E,,C&M,Au
Red Dome (AuCu),QLD,1990-1997,8.90,2.22,14.1,0.55,,,,,,,,,,,,,,,,,,,105.8E,32.8E,170E,937E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.37,93.94,34.73,,,,,,,,,,,,,,,,,,,,,,28.6,,E,,C&M,Au-Cu
Belyando,QLD,1989-1995,1.89,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.368,,,,,,,,,,,,,,,,,,,,,,,,1.66,,E,,C&M,Au
Selwyn,QLD,1988-2002,12.9,3.10,,2.38,,,,,,,,,,,,,,,,,,,777.5,28E,14.6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,217.7,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Au-Cu
Croydon-Tabletop (HL),QLD,1985,0.142,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,0.152,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Croydon,QLD,1987-1990@,1.33,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.810,4.599,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Rishton,QLD,1989-2007@,3.59,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.690,,,,,,,,,,,,,,,,,,,,,,,,1.80,,E,,Aban,Au
Gympie,QLD,1994-2008,1.61,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72,,,,,,,,,,,,,,,,,,,,,,,,0.26,,E,,Aban,Au
Shamrock-Manumbah,QLD,1993-1999,0.328,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.713,,,,,,,,,,,,,,,,,,,,,,,,1.19,,E,,Aban,Au
Wirralie,QLD,1988-2001@,8.84,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.89,,,,,,,,,,,,,,,,,,,,,,,,2.26,,E,,Aban,Au
Quamby,QLD,1992,0.076,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Au
Barrambah,QLD,1992-1993,0.062,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,,,,,,,,,,,,,,,,,,,,,,,,1.10,,E,,Aban,Au
